date,home_team,away_team,result,season,result_code
2017-08-03,Svidler,Anand,D,2017,0
2017-08-03,Wei Yi,Yu Yangyi,A,2017,-1
2017-08-03,Aronian,Caruana,A,2017,-1
2017-08-03,Carlsen,Karjakin,H,2017,1
2017-08-03,Gelfand,Inarkiev,H,2017,1
2017-08-03,Nepomniachtchi,So,A,2017,-1
2017-08-03,Yu Yangyi,Wei Yi,H,2017,1
2017-08-04,Ivanchuk,Najer,D,2017,0
2017-08-04,Karjakin,Aronian,D,2017,0
2017-08-04,Caruana,Nepomniachtchi,D,2017,0
2017-08-04,Inarkiev,Gelfand,D,2017,0
2017-08-04,So,Nakamura,D,2017,0
2017-08-04,Anand,Carlsen,D,2017,0
2017-08-04,MVL,Svidler,D,2017,0
2017-08-05,Carlsen,MVL,A,2017,-1
2017-08-05,Caruana,Karjakin,D,2017,0
2017-08-05,Aronian,Anand,D,2017,0
2017-08-05,Svidler,So,D,2017,0
2017-08-05,Nepomniachtchi,Nakamura,H,2017,1
2017-08-06,Anand,Caruana,H,2017,1
2017-08-06,So,Carlsen,A,2017,-1
2017-08-06,Karjakin,Nepomniachtchi,D,2017,0
2017-08-06,MVL,Aronian,D,2017,0
2017-08-06,Nakamura,Svidler,D,2017,0
2017-08-07,Gelfand,Inarkiev,D,2017,0
2017-08-08,Aronian,So,H,2017,1
2017-08-08,Nepomniachtchi,Svidler,D,2017,0
2017-08-08,Karjakin,Anand,D,2017,0
2017-08-08,Carlsen,Nakamura,D,2017,0
2017-08-08,Giri,Ding Liren,D,2017,0
2017-08-08,Caruana,MVL,D,2017,0
2017-08-08,Inarkiev,Gelfand,H,2017,1
2017-08-09,Ding Liren,Giri,A,2017,-1
2017-08-09,Nakamura,Aronian,A,2017,-1
2017-08-09,Svidler,Carlsen,D,2017,0
2017-08-09,MVL,Karjakin,D,2017,0
2017-08-09,Anand,Nepomniachtchi,H,2017,1
2017-08-09,So,Caruana,D,2017,0
2017-08-10,Anand,MVL,D,2017,0
2017-08-10,Aronian,Svidler,D,2017,0
2017-08-10,Nepomniachtchi,Carlsen,D,2017,0
2017-08-10,Karjakin,So,H,2017,1
2017-08-10,Giri,Ding Liren,D,2017,0
2017-08-10,Caruana,Nakamura,D,2017,0
2017-08-11,Ding Liren,Giri,D,2017,0
2017-08-11,Gelfand,Inarkiev,H,2017,1
2017-08-11,Carlsen,Aronian,H,2017,1
2017-08-11,MVL,Nepomniachtchi,H,2017,1
2017-08-11,Svidler,Caruana,H,2017,1
2017-08-11,Nakamura,Karjakin,D,2017,0
2017-08-11,So,Anand,D,2017,0
2017-08-12,Inarkiev,Gelfand,A,2017,-1
2017-08-14,Bacrot,Wojtaszek,H,2017,1
2017-08-14,Duda,Naiditsch,D,2017,0
2017-08-18,Wang Hao,Wei Yi,D,2017,0
2017-08-20,Wang Hao,Bu Xiangzhi,A,2017,-1
2017-08-21,Wei Yi,Grischuk,D,2017,0
2017-09-06,Tomashevsky,Vallejo Pons,D,2017,0
2017-09-06,Wang Hao,Gelfand,D,2017,0
